Video Name,Episode number,Speaker,Key words
https://www.youtube.com/watch?v=4dzxZ2ltwk0,85,Matthew Horwitz,"Alkenes, Borocyclopropanation, Boronates, Photoredox catalysis, Silicates, Styrenes, Xanthone, cyclopropanation"
https://www.youtube.com/watch?v=jbjb2VOU6T8,86,Matthew Horwitz,"Dual Photoredox catalysis, Homoallylic alcohols, Hyperconjugation, Kinetic Isotope Effect, Olefin, Styrenes"
https://www.youtube.com/watch?v=P70tsMMnvHc,87,Matthew Horwitz,"Aldehydes, Cross-Coupling, Ni-Catalysis, Pd-Catalysis, ketones"
https://www.youtube.com/watch?v=04qFcylDEQ8,88,Matthew Horwitz,"Aldol condensation, Grignard Reagent, Ley Oxidation, Metathesis reaction, Pauson-Khand, SN2, Weitz-Scheffer epoxidation"
https://www.youtube.com/watch?v=EIfvV2XAZEo,89,Matthew Horwitz,"Alkaloids, Conjugate addition, Dearomatization, Diels-Alder, Diterpenoid, Grignard Reagent, HAT, Wittig reaction"
https://www.youtube.com/watch?v=xKtJKjDTx28,90,Matthew Horwitz,"Evans Aldol addition, Fukuyama reduction, Negishi cross coupling, Ozonolysis, Schwartz reagent, esterification"
https://www.youtube.com/watch?v=7OFJM_pDefM,91,Matthew Horwitz,"Amino Acids, Biodegradation, Biosynthesis, Enzymes, Epoxides, P-Cycle"
https://www.youtube.com/watch?v=Ks2zTgMjLUI,92,Matthew Horwitz,"Amides, Amine, Chain Mechanism, Enzymatic catalysis, Stillbene, TEMPO"
https://www.youtube.com/watch?v=v0RHjFeq4Xc,93,Matthew Horwitz,"Enamides, Enamines, Inverse Diels-Alder, Wittig reaction, cycloaddition, sigmatropic rearrangement"
https://www.youtube.com/watch?v=fNRwVofV4iI,94,Matthew Horwitz,"C-H activation, Deuteration, H Isotope Exchange (HIE), Heterocycles, Hydrogen Auto-transfer, Kinetic Isotope Effect, Pd-Catalysis"
https://www.youtube.com/watch?v=DgqAe-vyOZc,95,Matthew Horwitz,"Alkenylation, Carboxylic acid, Coupling reaction, Voltammetry, decarboxylation, organolithium"
https://www.youtube.com/watch?v=Fz0hsDgqYz0,96,Matthew Horwitz,"Acetals, Aldehydes, Alkynes, Carbene, Geminal Hydrogenation, Metathesis reaction, alkene"
https://www.youtube.com/watch?v=DkEysiJZifI,97,Matthew Horwitz,"Amino Acids, Baeyer-villiger oxidation, Chemoselectivity, Dakin Reaction, Enzymes, Hantzsch ester, Oxidase"
https://www.youtube.com/watch?v=uBOvBc5qXRg,98,Matthew Horwitz,"Corey-Chaykovsky, Photoredox catalysis, Radical, TFCps, cycloaddition, cyclopropanation"
https://www.youtube.com/watch?v=biVG3QNizaw,99,Matthew Horwitz,"Chiral Phosphines, Cross-Coupling, Grignard Reagent, P-Arylation, Rearrangement, organolithium"
https://www.youtube.com/watch?v=yccqXV8EhfM,100,Matthew Horwitz,"Au-cyclization, Bestmann-Ohira reagent, Cross-Coupling, Fukuyama reduction, Metathesis reaction"
https://www.youtube.com/watch?v=S4-HXIIoN6U,101,Matthew Horwitz,"Chain Walking, Chemoselectivity, Hydroboration, Regioselectivity, W-Redox Catalysis"
https://www.youtube.com/watch?v=C3nakFJFsnM,102,Matthew Horwitz,"Amidyl Radicals, C-H functionalization, Chain Reaction, HAT, Halogenation, PCET, Xanthate"
https://www.youtube.com/watch?v=G3WnjqBwsac,103,Matthew Horwitz,"Arylation, Cross-Coupling, Friedel-Crafts reaction, Giese addition, Hydrogenation, Photoredox cross coupling"
https://www.youtube.com/watch?v=Oox0Z7y878M,104,Matthew Horwitz,"Hydroboration/Oxidation, Retrosynthesis, Swern Oxidation, Wacker Oxidation, Wittig reaction"
https://www.youtube.com/watch?v=umpc0vYHoLA,105,Matthew Horwitz,"Appel Reaction, Biosynthesis, Grignard Reagent, Hydroboration/Oxidation, hemiketal, transmetallation"
https://www.youtube.com/watch?v=ycSx_Za1jh8,106,Matthew Horwitz,"Borylation, C-H activation, Ortho Fluorine effect, Regioselectivity"
https://www.youtube.com/watch?v=cGyGl0x2aXU,107,Matthew Horwitz,"Deamination, Lawesson's Reagent, cycloaddition, hydroamination, organolithium"
https://www.youtube.com/watch?v=M10DhMwmOKA,108,Matthew Horwitz,"13-dipolar cycloaddition, Carbonyls, Nitrenes, Nitrobenzene, Ozonolysis, Styrenes, alkene, radical cycloaddition"
https://www.youtube.com/watch?v=KLyVAtYkl-Q,109,Matthew Horwitz,
https://www.youtube.com/watch?v=xgNyK4cZQUc,110,Matthew Horwitz,"Grignard Reagent, Macrolactamization, Mitsunobu Reaction, Photoredox etherification, Suzuki cross coupling, Ullman reaction"
https://www.youtube.com/watch?v=ZommFT2xZz4,111,Matthew Horwitz,"C-H activation, Decarboxylative cross coupling, Macrocyclization, Mitsunobu Reaction, larock indole synthesis"
https://www.youtube.com/watch?v=vkHgfk5qwZ4,112,Matthew Horwitz,"Asymmetric catalysis, Bronsted acid catalysis, Mass Spectrometry, Pictet-Spengler reaction"
https://www.youtube.com/watch?v=CMm-WJ1nolo,113,Matthew Horwitz,"Amides, Beckmann Rearrangement, C-H functionalization, Hypervalent Iodine, Indole Dearomatization, N-insertion, Quinazoline, divinyl Ketone"
https://www.youtube.com/watch?v=UeFhYiQGs0I,114,Matthew Horwitz,"13-dipolar cycloaddition, Aldol, Appel Reaction, Chugaev Ellimination, Conjugate addition, Dihydroxylation, Grignard Reagent, Grob-type fragmentation, Metathesis reaction, organolithium"
https://www.youtube.com/watch?v=8EcXMWTqDQ8,115,Matthew Horwitz,"Amides, Amine, Cross-Coupling, Ni-Catalysis, Photoredox catalysis"
https://www.youtube.com/watch?v=tFOA5TlorWQ,116,Matthew Horwitz,"Collidinium Salts, Deamination, Heterocycles, Katritzky Salt, Photoredox catalysis, Pyridinium Salts"
https://www.youtube.com/watch?v=fWvfpqnW_5U,117,Matthew Horwitz,"Biosynthesis, Dearomatization, Hydrogenation, Photoredox oxidation, Polonovski Reaction, Pyridinium Salts, epimerization"
https://www.youtube.com/watch?v=DLLzjiwu7PU,118,Matthew Horwitz,"Asymmetric Synthesis, Boronic esters, Cross-Coupling, Hydrolysis, Suzuki-Miyaura reaction"
https://www.youtube.com/watch?v=LNlR97Nn8Uo,119,Matthew Horwitz,"Asymmetric catalysis, Enantioselective, HBD Catalysis, Kinetic Isotope Effect, Prins Cyclization"
https://www.youtube.com/watch?v=ox80N74o_QY,120,Dr. Katie Rykaczewski,"Melt-Castables, [2+2] cycloaddition, azatidines, azetines, cyclobutanes, oxetanes"
https://www.youtube.com/watch?v=7xhdbFy6rak,121,Georgia Harris,"HAT, Pyrrolidine, SET, tertiary amines"
https://www.youtube.com/watch?v=-YMotPrGjUM,122,Craig Day,"Bipyridine, Coupling reaction, Ni-Catalysis, single electron transfer (SET)"
https://www.youtube.com/watch?v=xPm2j4dT65I,123,Joshua M. Paolillo,"Alcohols, C-H hydroxylation, HAT, HFIP, Nitroarenes, Radical Clock experiment"
https://www.youtube.com/watch?v=Q35baqjUTnA,124,Katherine Forbes,"H-Bond-Donar catalysis, chiral auxiliaries, chiral pool, enantiomers, stereoselective, stereospecific"
https://www.youtube.com/watch?v=XlrewFzAk54,125,Matthew Horwitz,"Aldehydes, Aldol-Evans-Tischenko, Evans-Tishchenko, esters"
https://www.youtube.com/watch?v=PvVwTi7ivmA,126,Riley Roberts,"Aryl dianion, Arynes, Electrofuge, Nucleofuge"
https://www.youtube.com/watch?v=cZZe0aSNouk,127,Matthew Horwitz,"Au-Catalysis, Lindlar's Catalyst, Metathesis reaction, Ozonolysis, Swern Oxidation, Wittig reaction, spiroketalization"
https://www.youtube.com/watch?v=TLS74_QcxgQ,128,Matthew Horwitz,"Aldol, Burgess Reagent, Knoevenagel condensation, Mukaiyama Aldol, Wittig reaction, electrocyclization, transmetallation"
https://www.youtube.com/watch?v=76shNLja1uE,129,Benjamin Gross,"Aldol, Luche Reduction, Michael addition, Swern Oxidation, esterification, sigmatropic rearrangement"
,,,
